web-scraper-order,web-scraper-start-url,review_link,review_link-href,author,message,title,coord
"1711209987-14","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/","Отзывы","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/reviews/","Miss Glamour","Живу рядом, с балкона вижу как идет строительство с фундамента, как вместо арматуры в фундамент завалили всякий мусор. И это при том, что стройка идет на не осушеном болоте. Когда рыли котлован под фундамент воду отчерпывали ковшом. А так инфраструктура в шаговой доступности.","Высотка на Боровой","40.923153,57.800991"
"1711209987-15","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/","Отзывы","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/reviews/","владимир дмитриев","Прекрасный дом в тихом спальном районе","Высотка на Боровой","40.923153,57.800991"
"1711209987-16","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/","Отзывы","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/reviews/","Игорь Смирнов","Дом прекрасный, мне нравится!","Высотка на Боровой","40.923153,57.800991"
"1711209987-17","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/","Отзывы","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/reviews/","Дмитрий Новиков","Место хорошее ,до астоноваи автобусов и магазинов 100 метров. Шаола дп .сад под боаом.","Высотка на Боровой","40.923153,57.800991"
"1711209987-18","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/","Отзывы","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/reviews/","Олег Кузнецов","Перекрыл 2 проезд, затенять  будет другие дома, будут пробки на светофоре утром","Высотка на Боровой","40.923153,57.800991"
"1711209987-19","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/","Отзывы","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/reviews/","Глушич  Василий","Неинтересная планировка и расположение. Дорого","Высотка на Боровой","40.923153,57.800991"
"1711209987-20","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/","Отзывы","https://yandex.ru/maps/org/vysotka_na_borovoy/56657359753/reviews/","Андрей Кожин","Хороший дом среди пятиэтажек","Высотка на Боровой","40.923153,57.800991"
"1711209994-21","https://yandex.ru/maps/org/lugovoy/146755728108/","Отзывы","https://yandex.ru/maps/org/lugovoy/146755728108/reviews/","Илья Дементьев","Нормальный дом с адекватной ценой в хорошем месте .","Луговой","40.889042,57.749275"
"1711209994-22","https://yandex.ru/maps/org/lugovoy/146755728108/","Отзывы","https://yandex.ru/maps/org/lugovoy/146755728108/reviews/","Настя Пухова","Долгострой у них нет денег несоветую!!!","Луговой","40.889042,57.749275"
"1711209994-23","https://yandex.ru/maps/org/lugovoy/146755728108/","Отзывы","https://yandex.ru/maps/org/lugovoy/146755728108/reviews/","павел майоров","Хорошая планировка, адекватная цена","Луговой","40.889042,57.749275"
"1711209994-24","https://yandex.ru/maps/org/lugovoy/146755728108/","Отзывы","https://yandex.ru/maps/org/lugovoy/146755728108/reviews/","Антон Давыдов","Данных о застройке нет ни у одного агентства","Луговой","40.889042,57.749275"
"1711210001-25","https://yandex.ru/maps/org/beregovaya_8a/242734519771/","Отзывы","https://yandex.ru/maps/org/beregovaya_8a/242734519771/reviews/","Сергей Фомин","Ещё только строится . Что хорошо: недалеко от остановки общественного транспорта, недалеко до детского сада, 400 метров до школы,  практически столько же до Ипатия. Что плохо: низина, рядом болотина, соответственно комары, летом лягушачьи концерты слушать. На подъезде к дому плохая дорога, ямы, а после дождей большие лужи.","Береговая, 8а","40.890961,57.782562"
"1711210001-26","https://yandex.ru/maps/org/beregovaya_8a/242734519771/","Отзывы","https://yandex.ru/maps/org/beregovaya_8a/242734519771/reviews/","Иван Иванов","Отличный дом в перспективе","Береговая, 8а","40.890961,57.782562"
"1711210001-27","https://yandex.ru/maps/org/beregovaya_8a/242734519771/","Отзывы","https://yandex.ru/maps/org/beregovaya_8a/242734519771/reviews/","Сергей К.","Была нормальная строительная компания, пока у учредителя и директора похоже не поехала ""крыша""! Разогнал всех, компанию продал и даже его родные не могут его найти!","Береговая, 8а","40.890961,57.782562"
"1711210001-28","https://yandex.ru/maps/org/beregovaya_8a/242734519771/","Отзывы","https://yandex.ru/maps/org/beregovaya_8a/242734519771/reviews/","сергей к.","Так и не движущееся строительство дома  в низине... Если и всё таки построят, мошкара и комары одолеют... Сырость...","Береговая, 8а","40.890961,57.782562"
"1711210001-29","https://yandex.ru/maps/org/beregovaya_8a/242734519771/","Отзывы","https://yandex.ru/maps/org/beregovaya_8a/242734519771/reviews/","Иван Б.","Полный отстой. Редкостное жулье. Собственно, отзыв уже не важен, так как фирма наделала кучу многомиллионных долгов и обанкротилась.","Береговая, 8а","40.890961,57.782562"
"1711210001-30","https://yandex.ru/maps/org/beregovaya_8a/242734519771/","Отзывы","https://yandex.ru/maps/org/beregovaya_8a/242734519771/reviews/","Владимир Мухин","Комплекс так и не построен","Береговая, 8а","40.890961,57.782562"
"1711210001-31","https://yandex.ru/maps/org/beregovaya_8a/242734519771/","Отзывы","https://yandex.ru/maps/org/beregovaya_8a/242734519771/reviews/","Орёл🤘","До сих пор стройка не начата(","Береговая, 8а","40.890961,57.782562"
"1711210001-32","https://yandex.ru/maps/org/beregovaya_8a/242734519771/","Отзывы","https://yandex.ru/maps/org/beregovaya_8a/242734519771/reviews/","Леонид Столяров","Кидают всех и вся!","Береговая, 8а","40.890961,57.782562"
"1711210016-33","https://yandex.ru/maps/org/po_ul_voykova/125101228090/","Отзывы","https://yandex.ru/maps/org/po_ul_voykova/125101228090/reviews/","YANA KAZAKOVA","Огражденная территория, есть место для парковки, чистые просторные подъезды с озеленением.
В квартирах: просторная кухня и комнаты, удобная планировка. Наличие балкона и индивидуальное отопление","По ул. Войкова","40.947762,57.765423"
"1711210023-34","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/","Отзывы","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/reviews/","Лариса Яковлева","Наконец то сделали дорогу к поселку,но придомовые территории ужас","Васильевское, 8а","40.976276,57.730518"
"1711210023-35","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/","Отзывы","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/reviews/","светлана шальнова","Хороший комплекс дорогу зделали наконец то но если в гости приезжаешь машину трудно припарковать мест мало","Васильевское, 8а","40.976276,57.730518"
"1711210023-36","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/","Отзывы","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/reviews/","Фарида Ш.","Ужасное место! Рядом женская исправительная колония! Энергетика отрицательная! Скоро начнутся проверки по поводу соблюдения расстояния застройки дома от колонии, так как там находится памятник истории и культуры. Возможно проверка будет не в пользу приобретателей жилья.....Я бы не хотела чтобы мои дети росли возле исправительного учреждения.....","Васильевское, 8а","40.976276,57.730518"
"1711210023-37","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/","Отзывы","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/reviews/","Ольга А.","Дом мало квартирный, уютная закрытая территория с воротами, конечно места во дворе мало,но и квартир немного. Вокруг зелёная зона, почти пригород, но чтобы доехать от дома до крупных магазинов, до Юбилейного м-рна, достаточно пяти минут. Планировки в доме не плохие, отопление АОГВ.","Васильевское, 8а","40.976276,57.730518"
"1711210023-38","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/","Отзывы","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/reviews/","Дмитрий С.","Хорошая экология, зеленый район","Васильевское, 8а","40.976276,57.730518"
"1711210023-39","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/","Отзывы","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/reviews/","Константин Ишунькин","Ужас! Под балконом огороды, вид на женскую колонию, хоть дом и новый, весь потолок в больших трещинах, шумоизоляция отсутствует от слова совсем.","Васильевское, 8а","40.976276,57.730518"
"1711210023-40","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/","Отзывы","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/reviews/","Наталья дерюгина","Там прекрасно!!","Васильевское, 8а","40.976276,57.730518"
"1711210023-41","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/","Отзывы","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/reviews/","Алена Г.","Трехэтажный, малоквартирный, кирпичный дом. Класс энергосбережения В. Вдали от отживленных дорог. Тихое, спокойное место. Плохо, что далековато садик, школа    магазин, нет никаких развивающих занятий  поблизости и фитнеса.","Васильевское, 8а","40.976276,57.730518"
"1711210023-42","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/","Отзывы","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/reviews/","дмитрий г.","Тихо,красиво,живут хорошие люди","Васильевское, 8а","40.976276,57.730518"
"1711210023-43","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/","Отзывы","https://yandex.ru/maps/org/vasilyevskoye_8a/7203374054/reviews/","Дмитрий Майоров","Отличный дом","Васильевское, 8а","40.976276,57.730518"
"1711210030-44","https://yandex.ru/maps/org/neo/12697525759/","Отзывы","https://yandex.ru/maps/org/neo/12697525759/reviews/","Светлана","С виду замечательно. Главное есть детская площадка, есть куда детей привести погулять. Удобно и дивём недалеко. Внук мой полюбил здесь гулять.","Neo","40.992172,57.748188"
"1711210030-45","https://yandex.ru/maps/org/neo/12697525759/","Отзывы","https://yandex.ru/maps/org/neo/12697525759/reviews/","Евгений Борисович","Создана группа в конктакте для собственников - присоеденяйтесь) ЖК NEO Кострома Дом будет классный из плит и шубы","Neo","40.992172,57.748188"
"1711210030-46","https://yandex.ru/maps/org/neo/12697525759/","Отзывы","https://yandex.ru/maps/org/neo/12697525759/reviews/","mr-yamah","Судя по стройке дом будет блочный, выбирать нам","Neo","40.992172,57.748188"
"1711210030-47","https://yandex.ru/maps/org/neo/12697525759/","Отзывы","https://yandex.ru/maps/org/neo/12697525759/reviews/","Дмитрий .","Построили только два этажа пака","Neo","40.992172,57.748188"
"1711210039-48","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/","Отзывы","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/reviews/","Андрей Яблоков","расположение очень удобное, красивое, тихое, зелёное место. Но квартирки маленькие.","На ул. Крупской, 22","40.903683,57.753765"
"1711210039-49","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/","Отзывы","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/reviews/","Татьяна Зайкина","Тихое,уютное местечко, хороший подъезд к жилому комплексу. Самое то для спокойной жизни.","На ул. Крупской, 22","40.903683,57.753765"
"1711210039-50","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/","Отзывы","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/reviews/","Алексей Кискин","Дом строился при мне живу рядом , так вот та половина что без балконов связана армотурой чтоб не развалилась! Так как на старое настроили ещё 2 этажа , а вот вторая половина с фундамента новая","На ул. Крупской, 22","40.903683,57.753765"
"1711210039-51","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/","Отзывы","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/reviews/","Евгений Кузнецов","Снимали квартиру в этом доме. Сама квартира отличная. А дом оставляет желать лучшего. Звукоизоляция ужасная, что бы понять кто сверлит поле 23ч или громко веселится, придется обойти пару этажей.","На ул. Крупской, 22","40.903683,57.753765"
"1711210039-52","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/","Отзывы","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/reviews/","СВЕТЛАНА ШИШОВА","Дом не большой был перестроен из старого фонда и пристроена пристройка, окна не такие как на фото, игровой площадки нет","На ул. Крупской, 22","40.903683,57.753765"
"1711210039-53","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/","Отзывы","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/reviews/","Алексей П.","Нужно снять пауков и паутины со всех мест общего пользования.Скоро будут арки из паутин,пришлю фото губернатору.","На ул. Крупской, 22","40.903683,57.753765"
"1711210039-54","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/","Отзывы","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/reviews/","Василий Брунов","Хороший новый дом","На ул. Крупской, 22","40.903683,57.753765"
"1711210039-55","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/","Отзывы","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/reviews/","Евгений Кукушкин","Нужно обновление в этом направлении и развитии микрораёна","На ул. Крупской, 22","40.903683,57.753765"
"1711210039-56","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/","Отзывы","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/reviews/","Алёна Благодерова","Новый дом. Особо сказать не чего","На ул. Крупской, 22","40.903683,57.753765"
"1711210039-57","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/","Отзывы","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/reviews/","Марья.Д","Сарай!!!! Не когда его домом не назвать","На ул. Крупской, 22","40.903683,57.753765"
"1711210039-58","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/","Отзывы","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/reviews/","Я","Малоэтажная,роща ,Волга","На ул. Крупской, 22","40.903683,57.753765"
"1711210039-59","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/","Отзывы","https://yandex.ru/maps/org/na_ul_krupskoy_22/200580788722/reviews/","Ксения Б.","Очень маленькие комнаты","На ул. Крупской, 22","40.903683,57.753765"
"1711210057-60","https://yandex.ru/maps/org/na_festivalnoy/110497347496/","Отзывы","https://yandex.ru/maps/org/na_festivalnoy/110497347496/reviews/","Мария Рябинина","Отличный малоэтажный кирпичный дом. Удобное расположение, через дорогу конечная остановка общественного транспорта.
Планировки квартир очень удобные, цена выгодная, строится быстро. Рекомендую! Кому интересно, пишите","На Фестивальной","41.010738,57.754097"
"1711210057-61","https://yandex.ru/maps/org/na_festivalnoy/110497347496/","Отзывы","https://yandex.ru/maps/org/na_festivalnoy/110497347496/reviews/","Наталия Быстрова","Очень бы хотелось там жить! А почему бы и нет, надо стремиться!","На Фестивальной","41.010738,57.754097"
"1711210057-62","https://yandex.ru/maps/org/na_festivalnoy/110497347496/","Отзывы","https://yandex.ru/maps/org/na_festivalnoy/110497347496/reviews/","Инкогнито 2247","Класс","На Фестивальной","41.010738,57.754097"
"1711210057-63","https://yandex.ru/maps/org/na_festivalnoy/110497347496/","Отзывы","https://yandex.ru/maps/org/na_festivalnoy/110497347496/reviews/","Игорь Смирнов","Прекрасное место","На Фестивальной","41.010738,57.754097"
"1711210066-64","https://yandex.ru/maps/org/na_ul_uchkhoza_23/47641909966/","Отзывы","https://yandex.ru/maps/org/na_ul_uchkhoza_23/47641909966/reviews/","Ольга К.","Небольшой дом с квартирами экономкласса, но это только из за метража.Самая большая квартира, по моему,25-26 кв.м. Расположен в очень тихом, красивом месте. Квартир заселено мало, что очень спасает, т.к. слышимость ,конечно,высокая.Напротив дома - детский сад,рядом магазин ""Адмирал"", идёт строительство школы и поликлиники.Для семьи из двух человек- очень хороший вариант. Жалко,что сейчас не строят дома  с маленьким метражом квартир.Это просто идеальный вариант для людей с ограниченными средствами.","На ул. Учхоза, 23","40.873779,57.750156"
"1711210066-65","https://yandex.ru/maps/org/na_ul_uchkhoza_23/47641909966/","Отзывы","https://yandex.ru/maps/org/na_ul_uchkhoza_23/47641909966/reviews/","Артём Сергеевич","Дом пушка","На ул. Учхоза, 23","40.873779,57.750156"
"1711210066-66","https://yandex.ru/maps/org/na_ul_uchkhoza_23/47641909966/","Отзывы","https://yandex.ru/maps/org/na_ul_uchkhoza_23/47641909966/reviews/","Лука К.","хороший дом 👍","На ул. Учхоза, 23","40.873779,57.750156"
"1711210066-67","https://yandex.ru/maps/org/na_ul_uchkhoza_23/47641909966/","Отзывы","https://yandex.ru/maps/org/na_ul_uchkhoza_23/47641909966/reviews/","Ксения Стрелец","Чистые подъезды, милые дома, но находятся в попе мира","На ул. Учхоза, 23","40.873779,57.750156"
"1711210066-68","https://yandex.ru/maps/org/na_ul_uchkhoza_23/47641909966/","Отзывы","https://yandex.ru/maps/org/na_ul_uchkhoza_23/47641909966/reviews/","Александр Тимофеев","Всё чисто, уютно, удобно.","На ул. Учхоза, 23","40.873779,57.750156"
"1711210066-69","https://yandex.ru/maps/org/na_ul_uchkhoza_23/47641909966/","Отзывы","https://yandex.ru/maps/org/na_ul_uchkhoza_23/47641909966/reviews/","Олег Кос","Чистый опрятный дом","На ул. Учхоза, 23","40.873779,57.750156"
"1711210081-70","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Лисса С.","Район хороший, но дом близко к дороге. Окна выходящие на Кинешемское шоссе будут постоянно грязные. Планировка квартир хорошая, но квартиры неоправданно дорогие. 12 миллионов за трёшку? Вы серьезно? Советую выбирать квартиры с окнами на внутреннюю сторону, будет не так шумно и пыльно. Подозреваю, что торцевые квартиры будут очень холодные, окна выходят в две стороны. Детская площадка с первого взгляда вызывает зависть, но горка для малышей с навесным мостом опасный, потому что под мостом нет страховочного пола, а в конце площадки есть две качели на цепях с люльками для малышей, и только одна качель для детей постарше. Сейчас владельцы начинают делать ремонты, но почему то на территории отсутствует контейнер для строительных отходов.","Андреевский","40.999886,57.749645"
"1711210081-71","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Виктория Резванова","Пока нечего о нем написать,т к он только заселяется.Но,построили его быстро.В октябре 2021 года сын уходил в армию и видел,что только забор огорожен.Вернулся через год,а тут уже построен комплекс.Чем был очень удивлен.","Андреевский","40.999886,57.749645"
"1711210081-72","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Костромушка","Октябрьский микрорайон очень удачно расположен. Поэтому жить здесь одно удовольствие. Развитая инфроструктура, хорошая транспортная развязка, можно уехать без пересадок в любой район города. Много школ, детских садов, поликлиник.","Андреевский","40.999886,57.749645"
"1711210081-73","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Анатолий З.","Стойка продолжается на 17022023 дом в принципе не плох и очень выгодное место расположение рядом детский сад много магазинов и аптек по близости","Андреевский","40.999886,57.749645"
"1711210081-74","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Мишенька Квакин","Хорошо построено. Удобное место, огромная парковка отличная детская площадка.","Андреевский","40.999886,57.749645"
"1711210081-75","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Владимир Кириллов","Очень полезный комплекс! Целому посёлку шум от Кинешемки отсекает!","Андреевский","40.999886,57.749645"
"1711210081-76","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Михаил Дворников","Купили  в ЖК Андреевский квартиру, современный, очень красивый дом. Застройщик Мастерстрой лучший в городе!","Андреевский","40.999886,57.749645"
"1711210081-77","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Татьяна Статина","Строится на кинешемке. Обещает быть красивым, современным, пока только забивают сваи. Но работают споро. Удобная локация. Продумали парковку. В общем, ждем ввода в строй. Рекомендуем.","Андреевский","40.999886,57.749645"
"1711210081-78","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Андрей К","Крайне сложно судить. Пока только стройка. Картинки красивые. Но вот если не будет заезда с кинешемки то как то печально. Надеюсь удастся его согласовать с соответствующими структурами. Пока 4 звёзды.","Андреевский","40.999886,57.749645"
"1711210081-79","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Евгения Щербаченко","Первый этаж очень низкий,не дай бог купить на первом этаже то же самое что на улице жить🤣жильё очень дорогое 
А район конечно отличный","Андреевский","40.999886,57.749645"
"1711210081-80","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Светлана","Красиво смотрится,но не для нас такие хоромы.","Андреевский","40.999886,57.749645"
"1711210081-81","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Галина Х.","удачное расположение. но дорогие квартиры","Андреевский","40.999886,57.749645"
"1711210081-82","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Михаил Соснин","А чего думать то? Только одна коробка и то не достроеная","Андреевский","40.999886,57.749645"
"1711210081-83","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Мердан Ашанов","Ещё не сделали полностью","Андреевский","40.999886,57.749645"
"1711210081-84","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Денчик Шеховцев","Дорого но квартиры очень очень хорошие","Андреевский","40.999886,57.749645"
"1711210081-85","https://yandex.ru/maps/org/andreyevskiy/190534800946/","Отзывы","https://yandex.ru/maps/org/andreyevskiy/190534800946/reviews/","Ирина Павлова","Он пока только строится, трудно сказать сейчас. Посмотрим!","Андреевский","40.999886,57.749645"
"1711210089-86","https://yandex.ru/maps/org/na_ul_spasokukotskogo_43/176085176457/","Отзывы","https://yandex.ru/maps/org/na_ul_spasokukotskogo_43/176085176457/reviews/","Злая Курепа","Люди злые там живут, мы как-то прошли по территории дома, дак я думала нас с ребёнком сожрут некоторые дамы, а мы всего лишь шли по тому пути который там был до постройки этого дома!","На ул. Спасокукоцкого, 43","40.921288,57.776787"
"1711210089-87","https://yandex.ru/maps/org/na_ul_spasokukotskogo_43/176085176457/","Отзывы","https://yandex.ru/maps/org/na_ul_spasokukotskogo_43/176085176457/reviews/","Igor Golovnin","Симпатичный дом, удобно расположен. Однако у дома не очень достаточная территория придомовая, окна комнат близко к тротуару ул. Спасокукоцкого.","На ул. Спасокукоцкого, 43","40.921288,57.776787"
"1711210089-88","https://yandex.ru/maps/org/na_ul_spasokukotskogo_43/176085176457/","Отзывы","https://yandex.ru/maps/org/na_ul_spasokukotskogo_43/176085176457/reviews/","Елена П.","Современный новый дом.Шикарные квартиры, огороженная территория.","На ул. Спасокукоцкого, 43","40.921288,57.776787"
"1711210089-89","https://yandex.ru/maps/org/na_ul_spasokukotskogo_43/176085176457/","Отзывы","https://yandex.ru/maps/org/na_ul_spasokukotskogo_43/176085176457/reviews/","lazarev micha","Красивый, современный дом, большая при домовая територия","На ул. Спасокукоцкого, 43","40.921288,57.776787"
"1711210089-90","https://yandex.ru/maps/org/na_ul_spasokukotskogo_43/176085176457/","Отзывы","https://yandex.ru/maps/org/na_ul_spasokukotskogo_43/176085176457/reviews/","Сергей С.","Дом неодыкватный его расположение не совсем правильное токие дома нетрадиционной формы  не для нашего города темболее районе центра","На ул. Спасокукоцкого, 43","40.921288,57.776787"
